Gender,Age,Education status,Faculty,Major,City of residence,Birth place,Work status,Relationship,Accommodation,Income,Online purchase,Online purchase freq,Payment method,Website type,Reasons,Mostly prefered,Website design,Product information,Product comments,Product rating,Product pictures,Variety of size/colour,Quality of the product,Return Guarantees,Recommondations about that webs,Product comparison feature,Different sellers offers,High online security system,The name value of the firm,Special discount coupon,Instant discount messages/mails,Most not to prefer,Reasons not prefer,Collecting info,Decision support systems,Bad experience,Bad experience info,Returned a product,Reason for returning products,"Satisfied brand,  prefer again",Recommend satisfied brand,Why don’t you shop online?
Female ,20 - 24,Bachelor's Degree ,Arts and Sciences,Statistics,Ankara,Ankara,Not working ,In a relationship ,Family House ,1001 TL - 2500 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,"Free delivery, Reviews from other customers ","Cosmetic Products , Clothing , Shoes and Bags",Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Important ,Unimportant ,Unimportant ,Very Important ,Slightly Important ,Unimportant ,Unimportant ,"Electronic Products , Baby Care ",I do not trust websites. ,Yes,Yes,No,"Problems about the product like damaged, fake, defective etc. ",Yes,"Defective product , Damaged product ",Yes,Yes,
Male ,20 - 24,Bachelor's Degree ,Management Sciences,Tourism Administration,Istanbul,Bursa,Not working ,Single ,Private Dorm,4001 TL - 5500 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,Quick and easy online checkout process ,"Electronic Products , Cosmetic Products , Clothing ",Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,"Electronic Products , Cosmetic Products , Clothing ","I would like to try on before buying., I want to see the product before buying. ",Yes,No,Yes,Late product delivery,Yes,"Defective product , Damaged product , Product different from what I ordered ",Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Arts and Sciences,Chemistry,Ankara,Istanbul,Not working ,Single ,College Dorm ,Less than 1000 TL ,Yes,Once a month ,Credit card ,Online marketplace websites ,Quick and easy online checkout process ,"Cosmetic Products , Clothing , Shoes and Bags ",Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,"Electronic Products , Building Supply",I want to see the product before buying. ,Yes,Yes,Yes,"Problems about the product like damaged, fake, defective etc. ",Yes,Defective product ,Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Arts and Sciences,Chemistry,Kocaeli,Kocaeli,Not working ,In a relationship ,College Dorm ,1001 TL - 2500 TL,Yes,Once a week ,Credit card ,Online marketplace websites ,Coupons and discounts ,Clothing ,Moderately Important ,Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Important ,Very Important ,Important ,Moderately Important ,Very Important ,Very Important ,Very Important ,Important ,Baby Care ,Store prices are cheaper ,Yes,Yes,Yes,"Late product delivery, Problems about the product like damaged, fake, defective etc. ",No,"Defective product , Fake product , Wrong order ",Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Engineering ,Chemical Engineering,Ankara,Ankara,Not working ,Single ,Family House ,1001 TL - 2500 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,Quick and easy online checkout process ,"Electronic Products , Cosmetic Products , Clothing ",Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Important ,Important ,Important ,Very Important ,Important ,Important ,Important ,"Electronic Products , Clothing , Shoes and Bags ",I would like to try on before buying.,Yes,Yes,Yes,Late product delivery,Yes,Product different from what I ordered ,Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Engineering ,Industrial Engineering,Antalya,Ankara,Not working ,In a relationship ,Family House ,Less than 1000 TL ,Yes,Once a month ,Credit card ,Online marketplace websites ,Quick and easy online checkout process ,"Cosmetic Products , Clothing , Shoes and Bags ",Very Important ,Important ,Very Important ,Important ,Very Important ,Very Important ,Very Important ,Very Important ,Moderately Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Electronic Products ,I do not trust websites. ,Yes,Yes,Yes,"Problems about the product like damaged, fake, defective etc. ",Yes,"Product different from what I ordered , Wrong or",Yes,Yes,
Male ,20 - 24,Bachelor's Degree ,Arts and Sciences,Statistics,Ankara,Kazakhstan,Not working ,Single ,Student House ,1001 TL - 2500 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,"Coupons and discounts , Quick and easy online checkout process","Electronic Products , Clothing , Hobby ",Important ,Very Important ,Important ,Important ,Slightly Important ,Very Important ,Important ,Moderately Important ,Moderately Important ,Slightly Important ,Slightly Important ,Important ,Moderately Important ,Important ,Moderately Important ,Cosmetic Products ,Store prices are cheaper ,Yes,Yes,Yes,Late product delivery,No,I have not returned my package before ,Yes,No,
Female ,20 - 24,Bachelor's Degree ,Business Administration ,Management,Ankara,Ankara,Not working ,In a relationship ,Family House ,Less than 1000 TL ,Yes,Once a month ,Credit card ,Online marketplace websites ,"Free delivery, Coupons and discounts ","Clothing , Shoes and Bags , Stationary ",Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Slightly Important ,Slightly Important ,Very Important ,Important ,Important ,Moderately Important ,"Electronic Products , Cosmetic Products ",I want to see the product before buying. ,Yes,No,No,Late product delivery,Yes,Refuse to buy the product ,Yes,Yes,
Male ,20 - 24,Bachelor's Degree ,Arts and Sciences,Chemistry,Ankara,Ankara,Not working ,In a relationship ,Family House ,1001 TL - 2500 TL,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I would like to try on before buying.
Female ,20 - 24,Bachelor's Degree ,Economic and Administrative Sciences ,Economics,Ankara,Ankara,Not working ,In a relationship ,House - Own ,2501 TL - 4000 TL,Yes,Once a week ,Credit card ,Online marketplace websites ,"Reviews from other customers , Quick and easy online checkout process","Electronic Products , Cosmetic Products , Clothing ",Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Important ,Important ,Very Important ,Very Important ,Very Important ,Very Important ,Important ,"Sport , Baby Care ",I want to see the product before buying. ,Yes,Yes,Yes,"Late product delivery, Problems about the product like damaged, fake, defective etc. ",Yes,Product different from what I ordered ,Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Arts and Sciences,Biology,Ankara,Ankara,Not working ,Single ,Family House ,2501 TL - 4000 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,"Coupons and discounts , Lots of likes or good comments on social media","Cosmetic Products , Clothing , Shoes and Bags ",Important ,Very Important ,Important ,Very Important ,Very Important ,Important ,Very Important ,Important ,Important ,Important ,Moderately Important ,Very Important ,Moderately Important ,Very Important ,Moderately Important ,"Electronic Products , Furniture ",I want to see the product before buying. ,Yes,Yes,Yes,"Late product delivery, No delivery / missing product ",Yes,"Defective product , Damaged product , Wrong order ",Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Law ,Law,Ankara,Corum,Not working ,In a relationship ,College Dorm ,2501 TL - 4000 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,Coupons and discounts ,Clothing ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Moderately Important ,Very Important ,Very Important ,Important ,Moderately Important ,Very Important ,Very Important ,Important ,Very Important ,Slightly Important ,Accessory,"I would like to try on before buying., I want to see the product before buying. ",Yes,Yes,Yes,"Late product delivery, No delivery / missing product ",Yes,"Product different from what I ordered , Refuse to buy the product ",Yes,Yes,
Male ,20 - 24,Bachelor's Degree ,Law ,Law,Ankara,Kahramanmaras,Not working ,Single ,Private Dorm,2501 TL - 4000 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,Reviews from other customers ,Clothing ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Slightly Important ,Furniture ,I want to see the product before buying.,Yes,Yes,Yes,"Problems about the product like damaged, fake, defective etc.",Yes,Wrong order ,Yes,Yes,
Male ,20 - 24,Bachelor's Degree ,Arts and Sciences,Statistics,Ankara,Zonguldak,Not working ,Single ,Family House ,1001 TL - 2500 TL,Yes,Once a day,Credit card ,Online marketplace websites ,"Coupons and discounts , Reviews from other customers ","Electronic Products , Cosmetic Products , Clothing ",Important ,Moderately Important ,Important ,Moderately Important ,Slightly Important ,Moderately Important ,Important ,Important ,Important ,Slightly Important ,Moderately Important ,Important ,Slightly Important ,Moderately Important ,Slightly Important ,"Electronic Products , Cosmetic Products , Clothing ","I would like to try on before buying., I want to see the product before buying. ",Yes,Yes,Yes,"Late product delivery, Problems about the product like damaged, fake, defective etc. ",Yes,"Defective product , Product different from what I ordered ",Yes,Yes,
Male ,25 - 30,Bachelor's Degree ,Economic and Administrative Sciences ,Management Information Systems,Istanbul,Samsun,Full-time ,In a relationship ,House - Rent ,More than 5500 TL ,Yes,Once a week ,Credit card ,Online marketplace websites ,"Free delivery, Coupons and discounts , ","Electronic Products , Clothing , Shoes and Bags ",Very Important ,Very Important ,Important ,Important ,Very Important ,Very Important ,Very Important ,Very Important ,Important ,Important ,Moderately Important ,Important ,Moderately Important ,Very Important ,Important ,"Cosmetic Products , Baby Care , Building Supply ","I would like to try on before buying., I want to see the product before buying. ",Yes,Yes,Yes,"Late product delivery, No delivery / missing product ",Yes,"Defective product , Damaged product , Refuse to buy the product ",Yes,Yes,
Male ,20 - 24,Bachelor's Degree ,Arts and Sciences,Statistics,Ankara,Ankara,Not working ,Single ,Family House ,4001 TL - 5500 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,"Reviews from other customers , Quick and easy online checkout process","Electronic Products , Clothing , Shoes and Bags ",Important ,Important ,Very Important ,Important ,Very Important ,Important ,Important ,Important ,Very Important ,Slightly Important ,Moderately Important ,Important ,Moderately Important ,Slightly Important ,Slightly Important ,"Cosmetic Products , Outdoor , Baby Care ","I would like to try on before buying., I want to see the product before buying. ",Yes,Yes,Yes,"Late product delivery, No delivery / missing product ",No,I have not returned my package before ,Yes,Yes,
Male ,20 - 24,Master's Degree ,Engineering ,Civil Engineering,Istanbul,Bal?kesir,Part-time ,Single ,Student House ,More than 5500 TL ,Yes,Once a month ,Credit card ,Online marketplace websites ,"Easy returns policy , Quick and easy online checkout process","Electronic Products , Clothing , Sport , Outdoor ",Slightly Important ,Very Important ,Important ,Moderately Important ,Very Important ,Slightly Important ,Very Important ,Important ,Important ,Moderately Important ,Slightly Important ,Very Important ,Important ,Moderately Important ,Unimportant ,"Cosmetic Products , Shoes and Bags , Baby Care ",I want to see the product before buying. ,Yes,Yes,Yes,"Late product delivery, No delivery / missing product ",Yes,"Defective product , Damaged product , Product different from what I ordered ",Yes,Yes,
Female ,20 - 24,Bachelor's Degree ,Law ,Law,Ankara,Malatya,Not working ,Single ,House - Own ,1001 TL - 2500 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,Quick and easy online checkout process ,"Cosmetic Products , Clothing , Shoes and Bags ",Moderately Important ,Very Important ,Very Important ,Important ,Important ,Moderately Important ,Important ,Important ,Important ,Unimportant ,Slightly Important ,Very Important ,Important ,Important ,Slightly Important ,Baby Care ,Store prices are cheaper ,Yes,No,Yes,"Problems about the product like damaged, fake, defective etc. ",Yes,"Defective product , Damaged product , Wrong order ",Yes,Yes,
Male ,25 - 30,Master's Degree ,Social Sciences ,Licensed Nursing Asistant,Ankara,Eskisehir,Full-time ,In a relationship ,House - Rent ,More than 5500 TL ,Yes,Once a month ,Credit card ,Online marketplace websites ,"Coupons and discounts , Reviews from other customers ","Accessory, Building Supply, Hobby ",Slightly Important ,Unimportant ,Unimportant ,Unimportant ,Unimportant ,Unimportant ,Unimportant ,Unimportant ,Unimportant ,Slightly Important ,Slightly Important ,Unimportant ,Unimportant ,Slightly Important ,Slightly Important ,"Clothing , Shoes and Bags ","I would like to try on before buying., I want to see the product before buying. ",Yes,No,Yes,"Problems about the product like damaged, fake, defective etc. ",Yes,Wrong order  ,Yes,Yes,
Male ,20 - 24,Bachelor's Degree ,Economic and Administrative Sciences ,Political Science,Istanbul,Alanya,Not working ,Single ,Student House ,2501 TL - 4000 TL,Yes,Once a month ,Credit card ,Online marketplace websites ,Quick and easy online checkout process ,Hobby ,Unimportant ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Very Important ,Electronic Products ,I want to see the product before buying. ,Yes,No,Yes,Problems with payment method like no pay-at-the-door option ,Yes,Defective product ,Yes,Yes,
